trade_month,industry,ret,n_stocks
2019-08,801030.SI,-0.022311987694139557,297
2019-08,801040.SI,-0.061637551587679806,31
2019-08,801050.SI,0.034090499779486416,113
2019-08,801080.SI,0.05526232836907741,236
2019-08,801110.SI,-0.001777746131870983,58
2019-08,801120.SI,0.11868637506854163,92
2019-08,801130.SI,-0.0023361536935277982,80
2019-08,801140.SI,-0.004157381236943758,124
2019-08,801150.SI,0.07379460595472587,300
2019-08,801160.SI,-0.013350496428885972,97
2019-08,801170.SI,-0.04467638998653123,116
2019-08,801180.SI,-0.05632490313487182,129
2019-08,801200.SI,-0.007771327637448033,95
2019-08,801210.SI,0.0272381970534068,33
2019-08,801230.SI,-0.0094368256280285,34
2019-08,801710.SI,-0.030164321567412555,66
2019-08,801720.SI,-0.060402003009684235,125
2019-08,801730.SI,-0.006109588974935298,191
2019-08,801740.SI,0.05232418548629769,66
2019-08,801750.SI,0.045307926487726746,206
2019-08,801760.SI,0.009064124105695237,166
2019-08,801770.SI,-0.038038105514868636,101
2019-08,801780.SI,-0.05127833218479838,33
2019-08,801790.SI,-0.03155948025530475,77
2019-08,801880.SI,0.0007623029110481738,172
2019-08,801890.SI,-0.03563348142347611,322
2019-08,801950.SI,-0.038491926074648686,38
2019-08,801960.SI,-0.05084277196536502,44
2019-08,801970.SI,-0.03182962773057607,73
2019-08,801980.SI,0.04370163107147018,16
2019-09,801010.SI,-0.07729260716064013,84
2019-09,801030.SI,0.02301073621981753,297
2019-09,801040.SI,0.0010396332052884372,31
2019-09,801050.SI,-0.029009524116892282,113
2019-09,801080.SI,0.09145740228092536,239
2019-09,801110.SI,0.005094805398679014,58
2019-09,801120.SI,-0.0189354715890917,94
2019-09,801130.SI,0.0097828871408836,80
2019-09,801140.SI,0.01223397413806837,125
2019-09,801150.SI,0.001660237587202129,300
2019-09,801160.SI,-0.013592416379722638,97
2019-09,801170.SI,0.0016627250484124723,116
2019-09,801180.SI,0.016519501702171757,129
2019-09,801200.SI,-0.015711566853917613,95
2019-09,801210.SI,-0.012109969304831658,33
2019-09,801230.SI,0.00589391364797498,33
2019-09,801710.SI,0.03378224032706245,66
2019-09,801720.SI,0.0070800466927327665,125
2019-09,801730.SI,0.022190550925536012,191
2019-09,801740.SI,-0.06769105245371998,66
2019-09,801750.SI,0.04903409760095068,208
2019-09,801760.SI,0.033677972326047634,167
2019-09,801770.SI,0.06557268606182443,101
2019-09,801780.SI,0.02806253356289301,33
2019-09,801790.SI,-0.00037949520724167574,79
2019-09,801880.SI,-0.013392156919715292,172
2019-09,801890.SI,0.039036407287675434,322
2019-09,801950.SI,-0.0027755748743130138,38
2019-09,801960.SI,0.029352374542563675,44
2019-09,801970.SI,-0.004107020420856977,74
2019-09,801980.SI,0.006812935800167841,16
2019-10,801010.SI,0.14365347879515578,84
2019-10,801030.SI,-0.009626271568490052,297
2019-10,801040.SI,-0.01771500763557332,31
2019-10,801050.SI,-0.04745808508234073,113
2019-10,801080.SI,0.013318386151070838,240
2019-10,801110.SI,0.05448230907426388,58
2019-10,801120.SI,0.02167039131039994,95
2019-10,801130.SI,-0.01670022512359648,80
2019-10,801140.SI,0.046237638202379694,125
2019-10,801150.SI,0.05006772958336314,300
2019-10,801160.SI,-0.0013350241239273863,97
2019-10,801170.SI,0.004855876706052031,116
2019-10,801180.SI,0.026085960614247172,129
2019-10,801200.SI,-0.002692169614143425,95
2019-10,801210.SI,-0.019413398976233398,33
2019-10,801230.SI,0.01103765178217464,33
2019-10,801710.SI,0.015382935488966964,66
2019-10,801720.SI,-0.022092297250489668,126
2019-10,801730.SI,-0.019716289611977134,191
2019-10,801740.SI,-0.041024768282114876,66
2019-10,801750.SI,0.01957168883795335,208
2019-10,801760.SI,0.01595930367521725,167
2019-10,801770.SI,-0.010287985391630117,101
2019-10,801780.SI,0.05122707057212428,33
2019-10,801790.SI,0.027870179008467444,79
2019-10,801880.SI,-0.002815008478564529,173
2019-10,801890.SI,-0.013994769997150436,322
2019-10,801950.SI,-0.023189315934575183,38
