date,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,pe_ttm,roe_ttm,turnover_20,mom_3_1,mom_6_1,ret_5d_std,volume_chg,high_low_20,close_to_high_60,dv_ttm,roa_ttm,gross_margin,low_leverage,growth_revenue,growth_profit,illiq_20
2021-02-26,-0.00866357,-0.00285509,-0.00653219,-0.00316911,-0.00214356,-0.00876875,-0.00722293,-0.00905036,-0.00472549,-0.00798434,-0.00798989,-0.00664155,-0.00677030,-0.00673668,-0.00510360,-0.00314460,-0.00842919,-0.00755317,-0.00675743,-0.00811143,-0.00737066,-0.00295641
2021-03-31,-0.01677605,-0.01335504,-0.01421151,-0.00664785,-0.00329261,-0.01868044,-0.01402427,-0.01935095,-0.00769022,-0.01293983,-0.01512888,-0.01189580,-0.00982929,-0.01376565,-0.00767287,-0.00649563,-0.01841009,-0.01633978,-0.01449353,-0.01656150,-0.01495406,-0.00594096
2021-04-30,-0.00329188,-0.00345436,-0.00255897,-0.00267143,-0.00228713,-0.00372120,-0.00326276,-0.00386022,-0.00174365,-0.00223720,-0.00300779,-0.00268587,-0.00243518,-0.00230187,-0.00272239,-0.00278661,-0.00350454,-0.00365730,-0.00358203,-0.00388824,-0.00375161,-0.00265993
2021-05-31,0.01094886,0.00895150,0.00750598,0.00867302,0.00835548,0.01140916,0.00908559,0.01221828,0.00551414,0.00907277,0.01027741,0.00773257,0.00814240,0.00752053,0.01082917,0.00948677,0.01155031,0.01075686,0.01075232,0.01203138,0.01180845,0.00839647
2021-06-30,-0.01389521,-0.01012889,-0.00961994,-0.01040054,-0.01202934,-0.01668256,-0.01120047,-0.01679318,-0.00665327,-0.01170629,-0.01213181,-0.00947165,-0.01281009,-0.00994995,-0.01344200,-0.01383726,-0.01521265,-0.01396861,-0.01298971,-0.01521331,-0.01542159,-0.00972176
2021-07-30,-0.02278399,-0.01817009,-0.01448079,-0.01760436,-0.02103101,-0.02597485,-0.01559717,-0.02825611,-0.01009680,-0.01596214,-0.01658973,-0.01374982,-0.02035659,-0.01521115,-0.01963448,-0.02506804,-0.02611594,-0.02235358,-0.02207081,-0.02180293,-0.02240799,-0.01698135
2021-08-31,0.02539258,0.01508806,0.01807181,0.01624374,0.01746077,0.03207874,0.01979385,0.03327872,0.01295747,0.02066768,0.02168749,0.02002661,0.02018154,0.02036055,0.01820463,0.02433871,0.03052462,0.02566508,0.02178227,0.02708677,0.02581586,0.01455918
2021-09-30,0.00100880,0.00098649,0.00077519,0.00074108,0.00063867,0.00134681,0.00092180,0.00137948,0.00052942,0.00081207,0.00086377,0.00061509,0.00074972,0.00077373,0.00087042,0.00086431,0.00125781,0.00103641,0.00090969,0.00125014,0.00118446,0.00052666
2021-10-29,-0.00357831,-0.00257605,-0.00272319,-0.00282094,-0.00247516,-0.00486423,-0.00271639,-0.00506671,-0.00210235,-0.00251121,-0.00260074,-0.00251159,-0.00323487,-0.00278526,-0.00318309,-0.00340349,-0.00467512,-0.00363949,-0.00325510,-0.00427026,-0.00412932,-0.00183074
2021-11-30,0.00320843,0.00194236,0.00226320,0.00204388,0.00224606,0.00440692,0.00212400,0.00468296,0.00167414,0.00278355,0.00264566,0.00210742,0.00224896,0.00220781,0.00209524,0.00276356,0.00422659,0.00323219,0.00276953,0.00381397,0.00366025,0.00138449
